date;host;searches
13.11.2016;iOS;24400
13.11.2016;mobile_web;8710
14.11.2016;Android;11177
14.11.2016;iOS;30180
14.11.2016;mobile_web;11090
15.11.2016;Android;10925
15.11.2016;iOS;31552
15.11.2016;mobile_web;9579
16.11.2016;Android;13237
16.11.2016;iOS;28981
16.11.2016;mobile_web;10106
17.11.2016;Android;11598
17.11.2016;iOS;26747
17.11.2016;mobile_web;8992
18.11.2016;Android;11939
18.11.2016;iOS;29461
18.11.2016;mobile_web;9797
19.11.2016;Android;11441
19.11.2016;iOS;31558
19.11.2016;mobile_web;9694
20.11.2016;Android;12616
20.11.2016;iOS;27938
20.11.2016;mobile_web;9630
21.11.2016;Android;12094
21.11.2016;iOS;34148
21.11.2016;mobile_web;9215
22.11.2016;Android;11091
